ID_mesh	Pais	Categoria	Nome	Year	Deforestation	Reforestation	Growth_Urban	Growth_Mining	Growth_Pasture	Growth_Agriculture	Forest	NonForest	Water	Others	Urban	Mining	Pasture	Agriculture	0	11	12	15	3	33	4	41
1	Brasil	Terra Indígena	Uaçá I e II	1985	NA	NA	NA	NA	NA	NA	10.6983	0	0	0	0	0	0	0	NA	NA	NA	NA	10.6983	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	1986	0	0	0	0	0	0	10.6983	0	0	0	0	0	0	0	NA	NA	NA	NA	10.6983	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	1987	0	0	0	0	0	0	10.6983	0	0	0	0	0	0	0	NA	NA	NA	NA	10.6983	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	1988	0	0	0	0	0	0	10.6983	0	0	0	0	0	0	0	NA	NA	NA	NA	10.6983	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	1989	0	0	0	0	0	0	10.6983	0	0	0	0	0	0	0	NA	NA	NA	NA	10.6983	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	1990	0	0	0	0	0	0	10.6983	0	0	0	0	0	0	0	NA	NA	NA	NA	10.6983	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	1991	0	0	0	0	0	0	10.6983	0	0	0	0	0	0	0	NA	NA	NA	NA	10.6983	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	1992	0	0	0	0	0	0	10.6983	0	0	0	0	0	0	0	NA	NA	NA	NA	10.6983	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	1993	0	0	0	0	0	0	10.6983	0	0	0	0	0	0	0	NA	NA	NA	NA	10.6983	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	1994	0	0	0	0	0	0	10.6983	0	0	0	0	0	0	0	NA	NA	NA	NA	10.6983	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	1995	0	0	0	0	0	0	10.6983	0	0	0	0	0	0	0	NA	NA	NA	NA	10.6983	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	1996	0	0	0	0	0	0	10.6983	0	0	0	0	0	0	0	NA	NA	NA	NA	10.6983	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	1997	0	0	0	0	0	0	10.6983	0	0	0	0	0	0	0	NA	NA	NA	NA	10.6983	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	1998	0	0	0	0	0	0	10.6983	0	0	0	0	0	0	0	NA	NA	NA	NA	10.6983	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	1999	0	0	0	0	0	0	10.6983	0	0	0	0	0	0	0	NA	NA	NA	NA	10.6983	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	2000	0	0	0	0	0	0	10.6983	0	0	0	0	0	0	0	NA	NA	NA	NA	10.6983	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	2001	0	0	0	0	0	0	10.6983	0	0	0	0	0	0	0	NA	NA	NA	NA	10.6983	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	2002	0	0	0	0	0	0	10.6983	0	0	0	0	0	0	0	NA	NA	NA	NA	10.6983	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	2003	0	0	0	0	0	0	10.6983	0	0	0	0	0	0	0	NA	NA	NA	NA	10.6983	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	2004	0.00900000000000034	0	0	0	0	0	10.6893	0.009	0	0	0	0	0	0	NA	0.009	NA	NA	10.6893	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	2005	0	0	0	0	0	0	10.6893	0.009	0	0	0	0	0	0	NA	0.009	NA	NA	10.6893	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	2006	0	0	0	0	0	0	10.6893	0.009	0	0	0	0	0	0	NA	0.009	NA	NA	10.6893	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	2007	0	0	0	0	0	0	10.6893	0.009	0	0	0	0	0	0	NA	0.009	NA	NA	10.6893	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	2008	0	0.00900000000000034	0	0	0	0	10.6983	0	0	0	0	0	0	0	NA	NA	NA	NA	10.6983	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	2009	0	0	0	0	0	0	10.6983	0	0	0	0	0	0	0	NA	NA	NA	NA	10.6983	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	2010	0	0	0	0	0	0	10.6983	0	0	0	0	0	0	0	NA	NA	NA	NA	10.6983	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	2011	0	0	0	0	0	0	10.6983	0	0	0	0	0	0	0	NA	NA	NA	NA	10.6983	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	2012	0	0	0	0	0	0	10.6983	0	0	0	0	0	0	0	NA	NA	NA	NA	10.6983	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	2013	0	0	0	0	0	0	10.6983	0	0	0	0	0	0	0	NA	NA	NA	NA	10.6983	NA	NA	NA
